text,label
Birds drives,next_word:drives
A tree swam,next_word:swam
Birds is,next_word:is
The sky swam,next_word:swam
Birds sat,next_word:sat
A tree flows,next_word:flows
The sky swam,next_word:swam
Fish shines,next_word:shines
Birds shines,next_word:shines
The sun shines,next_word:shines
The sun sat,next_word:sat
The sun flows,next_word:flows
The dog grows,next_word:grows
A car flows,next_word:flows
The cat is,next_word:is
A tree drives,next_word:drives
The dog drives,next_word:drives
A car flew,next_word:flew
The dog sat,next_word:sat
A tree sat,next_word:sat
Birds swam,next_word:swam
A tree flows,next_word:flows
The river flows,next_word:flows
The sun swam,next_word:swam
A car swam,next_word:swam
The cat is,next_word:is
Fish barked,next_word:barked
A car barked,next_word:barked
The cat barked,next_word:barked
A tree sat,next_word:sat
A car is,next_word:is
Birds swam,next_word:swam
The sky sat,next_word:sat
The cat barked,next_word:barked
Fish swam,next_word:swam
The sky shines,next_word:shines
A car swam,next_word:swam
Fish is,next_word:is
Birds shines,next_word:shines
The river is,next_word:is
The river flew,next_word:flew
The dog flows,next_word:flows
A car is,next_word:is
A tree swam,next_word:swam
The cat drives,next_word:drives
The book shines,next_word:shines
The book sat,next_word:sat
The book swam,next_word:swam
Fish flew,next_word:flew
Fish flew,next_word:flew
Fish flew,next_word:flew
A tree shines,next_word:shines
The cat barked,next_word:barked
The dog shines,next_word:shines
Fish grows,next_word:grows
Birds flows,next_word:flows
The book grows,next_word:grows
Birds shines,next_word:shines
Birds grows,next_word:grows
Birds is,next_word:is
The river drives,next_word:drives
The dog swam,next_word:swam
A tree shines,next_word:shines
The cat barked,next_word:barked
The book swam,next_word:swam
Fish shines,next_word:shines
A tree sat,next_word:sat
A car is,next_word:is
A car is,next_word:is
The river flows,next_word:flows
The dog sat,next_word:sat
The sun barked,next_word:barked
A tree sat,next_word:sat
Birds swam,next_word:swam
The dog shines,next_word:shines
The dog barked,next_word:barked
The sky grows,next_word:grows
The sky shines,next_word:shines
The sun is,next_word:is
The cat flows,next_word:flows
The sun drives,next_word:drives
The book sat,next_word:sat
Birds flew,next_word:flew
A car swam,next_word:swam
The sun grows,next_word:grows
The sky sat,next_word:sat
The dog swam,next_word:swam
Fish barked,next_word:barked
A car flew,next_word:flew
The cat is,next_word:is
The river grows,next_word:grows
A car grows,next_word:grows
The dog shines,next_word:shines
The sky is,next_word:is
A car flew,next_word:flew
The river sat,next_word:sat
The book swam,next_word:swam
Fish drives,next_word:drives
Fish flows,next_word:flows
The river sat,next_word:sat
A tree drives,next_word:drives
A tree sat,next_word:sat
The book barked,next_word:barked
A car flows,next_word:flows
Fish sat,next_word:sat
The cat barked,next_word:barked
The book flew,next_word:flew
